ID,Name,Latitude,Longitude,Elevation,City
00AA,Aero B Ranch Airport,38.704021999999995,-101.473911,3435.0,Leoti
00AK,Lowell Field,59.94919968,-151.6959991,450.0,Anchor Point
00AL,Epps Airpark,34.8647995,-86.77030182,820.0,Harvest
00AS,Fulton Airport,34.9428028,-97.8180194,1100.0,Alex
00AZ,Cordes Airport,34.30559921,-112.16500090000001,3810.0,Cordes
00CA,Goldstone /Gts/ Airport,35.350498200000004,-116.88800049999999,3038.0,Barstow
00CL,Williams Ag Airport,39.427188,-121.76342700000001,87.0,Biggs
00FA,Grass Patch Airport,28.64550018,-82.21900177,53.0,Bushnell
00FL,River Oak Airport,27.23089981,-80.96920013,35.0,Okeechobee
00GA,Lt World Airport,33.76750183,-84.06829834,700.0,Lithonia
00ID,Delta Shores Airport,48.14530182,-116.2139969,2064.0,Clark Fork
00IG,Goltl Airport,39.724028000000004,-101.39599399999999,3359.0,McDonald
00IL,Hammer Airport,41.97840118,-89.56040192,840.0,Polo
00IS,Hayenga's Cant Find Farms Airport,40.02560043,-89.12290192,820.0,Kings
00KS,Hayden Farm Airport,38.72779846,-94.93049622,1100.0,Gardner
00KY,Robbins Roost Airport,37.40940094,-84.61969757,1265.0,Stanford
00LS,Lejeune Airport,30.13629913,-92.42939758,12.0,Esterwood
00MD,Slater Field,38.75709915,-75.75379944,45.0,Federalsburg
00MN,Battle Lake Municipal Airport,46.29999924,-95.70030212,1365.0,Battle Lake
00MO,Cooper Flying Service Airport,37.20280075,-94.41239929,970.0,Alba
00N,Bucks Airport,39.47320175,-75.18520355,105.0,Bridgeton
00NC,North Raleigh Airport,36.08520126,-78.37139893,348.0,Louisburg
00NY,Weiss Airfield,42.90010071,-77.49970245,1000.0,West Bloomfield
00OH,Exit 3 Airport,41.59090042,-84.14219666,785.0,Wauseon
00PN,Ferrell Field,41.2995,-80.211111,1301.0,Mercer
00S,Mc Kenzie Bridge State Airport,44.18320084,-122.0889969,1620.0,Mc Kenzie Bridge
00SC,Flying O Airport,34.00939941,-80.26719666,150.0,Sumter
00TN,Ragsdale Road Airport,35.51589966,-85.95359802,1100.0,Manchester
00TS,Alpine Range Airport,32.60760117,-97.24199677,670.0,Everman
00VA,Vaughan Airport,36.57600021,-78.9991684,551.0,Alton
00VI,Groundhog Mountain Airport,36.66329956,-80.49949646,2680.0,Hillsville
00W,Lower Granite State Airport,46.67350006,-117.4430008,719.0,Colfax
