ID,Name,Latitude,Longitude,Elevation,City
00A,Total Rf Heliport,40.07080078,-74.93360138,11.0,Bensalem
00CN,Kitchen Creek Helibase Heliport,32.7273736,-116.45974170000001,3350.0,Pine Valley
00FD,Ringhaver Heliport,28.84659958,-82.34539795,25.0,Riverview
00GE,Caffrey Heliport,33.88420105,-84.73390198,957.0,Hiram
00HI,Kaupulehu Heliport,19.832715,-155.980233,43.0,Kailua/Kona
00II,Bailey Generation Station Heliport,41.64450073,-87.12280273,600.0,Chesterton
00IN,St Mary Medical Center Heliport,41.51139832,-87.26059723,634.0,Hobart
00LA,Shell Chemical East Site Heliport,30.191944,-90.98083299999999,15.0,Gonzales
00LL,Ac & R Components Heliport,39.66529846,-89.70559692,600.0,Chatham
00MI,Dow Chemical Heliport,43.94940186,-86.41670227,588.0,Ludington
00NJ,Colgate-Piscataway Heliport,40.52090073,-74.47460175,78.0,New Brunswick
00OI,Miami Valley Hospital Heliport,39.74530029,-84.18740082,905.0,Dayton
00OR,Steel Systems Heliport,44.93289948,-123.1299973,195.0,Salem
00PA,R J D Heliport,39.94889832,-75.74690247,402.0,Coatesville
00TA,Sw Region Faa Heliport,32.82690048,-97.30580139,598.0,Fort Worth
00TE,Tcjc-Northeast Campus Heliport,32.84759903,-97.1894989,600.0,Fort Worth
00WY,Mountain View Regional Hospital Heliport,42.840361,-106.224443,5210.0,Casper
01AK,Providence Seward Medical Center Heliport,60.10587398,-149.446249,120.0,Seward
01AR,Community Hospital of De Queen Heliport,34.04729843,-94.35489655,400.0,De Queen
01AZ,Yat Heliport,34.60810089,-111.8649979,3300.0,Camp Verde
01CA,Lugo Substation Heliport,34.36824059,-117.3700587,3733.0,Hesperia
01CN,Los Angeles County Sheriff's Department Heliport,34.03779984,-118.1539993,300.0,Los Angeles
01CO,St Vincent General Hospital Heliport,39.24530029,-106.2460022,10175.0,Leadville
01CT,Berlin Fairgrounds Heliport,41.62730026,-72.72750092,60.0,Berlin
01FD,Florida Hospital-Altamonte Heliport,28.66640091,-81.37059784,86.0,Altamonte Springs
01GA,Medical Center Heliport,32.47930145,-84.97910309,319.0,Columbus
01IL,Hoopeston Community Memorial Hospital Heliport,40.45859909,-87.65950012,583.0,Hoopeston
01IN,Community Hospital Heliport,40.13090134,-85.69580078,890.0,Anderson
01KY,Lourdes Hospital Heliport,37.05170059,-88.64689636,419.0,Paducah
01MA,Compaq Andover Heliport,42.62509918,-71.18009949,140.0,Andover
01MI,Flow Through Terminal Heliport,43.04949951,-83.67970276,736.0,Flint
01MO,Highway Patrol Troop C Headquarters Heliport,38.64170074,-90.48429871,615.0,Town and Country
01NJ,Albert Guido Memorial Heliport,40.7417984,-74.13710022,10.0,Newark
01NY,Vassar Hospital Heliport,41.70009995,-73.94960022,100.0,Poughkeepsie
01OI,Galion Community Hospital Heliport,40.73059845,-82.8015976,1140.0,Galion
01PA,Pine Heliport,40.6556015,-80.05090332,1215.0,Mars
01TA,Thirty Thirty Matlock Office Center Heliport,32.69419861,-97.11579895,630.0,Arlington
01TS,St Joseph Hospital Heliport,32.72850037,-97.32450104,675.0,Fort Worth
01WA,Willapa Harbor Heliport,46.66320038,-123.8119965,154.0,South Bend
01WN,Whidbey General Hospital Heliport,48.21340179,-122.6849976,103.0,Coupeville
01WT,Odyssey Heliport,47.518178000000006,-122.210908,20.0,Renton
01XA,Seton Medical Center Hays Heliport,30.007222,-97.85333299999999,715.0,Kyle
01XS,Meadowood Ranch Heliport,32.02019882,-95.74549866,500.0,Athens
02CA,Swepi Beta Platform Ellen Heliport,33.58250046,-118.1289978,122.0,Huntington Beach
02CT,Strangers Point Heliport,41.91960144,-72.44450378,540.0,Ellington
02HI,K3 Helipad Heliport,21.36199951,-157.951004,9.0,Pearl Harbor
02IA,Boone County Hospital Heliport,42.05609894,-93.87799835,1160.0,Boone
02IS,Condell Medical Center Heliport,42.27460098,-87.95729828,762.0,Libertyville
02KT,St Claire Healthcare Heliport,38.181441,-83.44331899999999,781.0,Morehead
02KY,Boone National Guard Heliport,38.183399200000004,-84.89990234,760.0,Frankfort
02LA,La State Police Troop G Heliport,32.53129959,-93.66020203,168.0,Bossier City
02LS,Windy Hill Heliport,30.14830017,-91.91899872,25.0,Broussard
02MA,Cuttyhunk Heliport,41.41960144,-70.92700195,9.0,Gosnold
02NC,Race City Heliport,35.541111,-80.597778,809.0,Landis
02NJ,Penske Heliport,40.55730057,-74.46710205,78.0,Piscataway
02NY,Hansen Heliport,43.13259888,-75.65550232,435.0,Durhamville
02OK,Canon Heliport,35.45840073,-97.52529907,1191.0,Oklahoma City
02P,Stottle Memorial Heliport,40.40359879,-77.55660248,591.0,Honey Grove
02PA,Lag Iii Heliport,40.43830109,-79.76999664,1070.0,Monroeville
02PN,Peco Berwyn Heliport,40.06959915,-75.4552002,390.0,Berwyn
02TA,Matagorda Shore Facility Heliport,28.72139931,-95.87380219,5.0,Matagorda
02TE,Baylor Medical Center Heliport,32.395401,-96.86419678,560.0,Waxahachie
02VG,Northstar Aviation Heliport,36.63880157,-82.11669922,1850.0,Bristol
03AA,Trapper T Heliport,61.55605500000001,-149.284527,159.0,Palmer
03AL,Highland Medical Center Heliport,34.662603999999995,-86.046774,628.0,Scottsboro
03AR,Hscmh Heliport,34.35760117,-92.78849792,350.0,Malvern
03CA,Grossmont Hospital Heliport,32.779484000000004,-117.006952,634.0,La Mesa
03FL,Ranger Heliport,26.68370056,-80.18730164,20.0,West Palm Beach
03IS,OSF St Anthony's Health Center Heliport,38.904999,-90.173401,580.0,Alton
03KS,Valley Grain Heliport,39.86470032,-95.26409912,1160.0,Highland
03LA,Damien Heliport,30.19960022,-91.12789917,25.0,Carville
03LS,Fmc Nr 1 Heliport,32.1590004,-91.70800018,79.0,Winnsboro
03MD,Upper Chesapeake Medical Center Heliport,39.52249908,-76.3266983,302.0,Bel Air
03MI,Harold Miller Heliport,43.55089951,-83.86219788,585.0,Bay City
03MS,Vicksburg Medical Center Heliport,32.31880188,-90.88320159999999,110.0,Vicksburg
03NH,Lorden Heliport,42.81539917,-71.12439728,400.0,Milford
03NJ,At&T Heliport,40.66870117,-74.41069794,360.0,Berkeley Heights
03OI,Marymount Hospital Heliport,41.42089844,-81.59980011,890.0,Garfield Heights
03PA,Collegeville Heliport,40.16289902,-75.46569824,197.0,Collegeville
03PN,M.P. Metals Heliport,41.066860999999996,-76.180806,479.0,Berwick
03SC,Seacoast Medical Center Heliport,33.86500168,-78.66190338,73.0,Little River
03TN,Eagles Landing Heliport,35.92250061,-83.57939911,1000.0,Sevierville
03TS,Shannon Medical Center Heliport,31.4598999,-100.43800350000001,1825.0,San Angelo
