Faculty,Salary,Gender,Rank,Dept,Years,Merit
1,38,Male,Full,Family Studies,0,1.47
2,58,Female,Associate,Biology,8,4.38
3,80,Female,Full,Business,9,3.65
4,30,Female,Assistant,Family Studies,0,1.64
5,50,Female,Assistant,Business,0,2.54
6,49,Female,Assistant,Business,1,2.06
7,45,Male,Full,Family Studies,4,4.76
8,42,Female,Assistant,Biology,0,3.05
9,59,Male,Full,Business,3,2.73
10,47,Female,Associate,Family Studies,0,3.14
11,34,Male,Assistant,Family Studies,3,4.42
12,53,Male,Associate,Business,0,2.36
13,35,Female,Assistant,Family Studies,1,4.29
14,42,Male,Assistant,Biology,2,3.81
15,42,Male,Assistant,Biology,2,3.84
16,51,Male,Full,Biology,7,3.15
17,51,Female,Associate,Family Studies,8,5.07
18,40,Male,Assistant,Biology,3,2.73
19,48,Female,Associate,Family Studies,1,3.56
20,34,Female,Assistant,Family Studies,7,3.54
21,46,Female,Associate,Family Studies,2,2.71
22,45,Male,Assistant,Biology,6,5.18
23,50,Female,Assistant,Business,2,2.66
24,61,Male,Full,Business,3,3.7
25,62,Female,Full,Family Studies,2,3.75
26,51,Male,Assistant,Business,8,3.96
27,59,Male,Full,Business,0,2.88
28,65,Female,Associate,Business,5,3.37
29,49,Male,Assistant,Business,0,2.84
30,37,Female,Assistant,Family Studies,9,5.12
