Faculty,Salary,Gender,Rank,Dept,Years,Merit
1,38,0,3,1,0,1.47
2,58,1,2,2,8,4.38
3,80,1,3,,9,3.65
4,30,1,1,1,0,1.64
5,50,1,1,3,0,2.54
6,49,1,1,3,1,2.06
7,45,0,3,1,4,4.76
8,42,1,1,2,0,3.05
9,59,0,3,3,3,2.73
10,47,1,2,1,0,3.14
11,34,0,1,1,3,4.42
12,53,0,2,3,0,2.36
13,35,1,1,1,1,4.29
14,42,0,1,2,2,3.81
15,42,0,1,2,2,3.84
16,51,0,3,2,7,3.15
17,51,1,2,1,8,5.07
18,40,0,1,2,3,2.73
19,48,1,2,1,1,3.56
20,34,1,1,1,7,3.54
21,46,1,2,1,2,2.71
22,45,0,1,2,6,5.18
23,50,1,1,3,2,2.66
24,61,0,3,3,3,3.7
25,62,1,3,1,2,3.75
26,51,0,1,3,8,3.96
27,59,0,3,3,0,2.88
28,65,1,2,3,5,3.37
29,49,0,1,3,0,2.84
30,37,1,1,1,9,5.12
,,,,,,
